"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: nbUncFuses","Param: subName"
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.034137,0.000157,"ms/op",0,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.059763,0.000149,"ms/op",1,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.058934,0.000233,"ms/op",2,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.107363,0.000882,"ms/op",3,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.175984,0.000573,"ms/op",4,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.175989,0.000774,"ms/op",5,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.248291,0.001396,"ms/op",6,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.394735,0.001950,"ms/op",7,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,0.715343,0.002650,"ms/op",8,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,1.139723,0.018023,"ms/op",9,
"duc.propagation.bench.IndirectParaUncertain.ucLoadApprox","avgt",8,50,1.603925,0.003763,"ms/op",10,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.026715,0.000139,"ms/op",0,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.047298,0.000144,"ms/op",1,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.081823,0.000198,"ms/op",2,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.139778,0.001020,"ms/op",3,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.203635,0.001188,"ms/op",4,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.204138,0.000971,"ms/op",5,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.240528,0.001023,"ms/op",6,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.271558,0.001388,"ms/op",7,
"duc.propagation.bench.ParaCabinetUncertain.ucLoadApprox","avgt",8,50,0.488672,0.001635,"ms/op",8,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.017432,0.000251,"ms/op",0,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.027477,0.000148,"ms/op",1,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.040445,0.000155,"ms/op",2,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.062471,0.000303,"ms/op",3,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.062837,0.000303,"ms/op",4,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.095118,0.000817,"ms/op",5,
"duc.propagation.bench.ParaTransformerUncertain.ucLoadApprox","avgt",8,50,0.145411,0.000483,"ms/op",6,
"duc.propagation.bench.RC3SReference.referenceBench","avgt",8,50,0.318983,0.000802,"ms/op",,"Substation 1"
"duc.propagation.bench.RC3SReference.referenceBench","avgt",8,50,0.100335,0.001045,"ms/op",,"Substation 2"
"duc.propagation.bench.RC3SReference.referenceBench","avgt",8,50,0.044040,0.000474,"ms/op",,"Substation 3"
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,0.345039,0.004391,"ms/op",0,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,0.695117,0.002411,"ms/op",1,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,1.304881,0.011306,"ms/op",2,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,2.301895,0.026222,"ms/op",3,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,4.338093,0.043170,"ms/op",4,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,7.791375,0.070284,"ms/op",5,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,9.069164,0.075289,"ms/op",6,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,16.732993,0.138623,"ms/op",7,
"duc.propagation.bench.RC3SSub1Uncertain.ucLoadApprox","avgt",8,50,31.520878,0.382742,"ms/op",8,
